id,popularity,budget,revenue,original_title,cast,director,runtime,genres,production_companies,vote_count,release_year,profit
10263.0,0.278997,5303675.626,230984.5643,Tamara,Jenna Dewan|Marc Devigne|Chad Faust|Katie Stuart|Bryan Clark,Jeremy Haft,98.0,['Horror Thriller Science Fiction'],Lions Gate Films|City Lights Pictures,31.0,2005.0,0.0
2610.0,0.270403,11483320.83,12938964.3,Shopgirl,Steve Martin|Claire Danes|Jason Schwartzman|Bridgette Wilson|Frances Conroy,Anand Tucker,104.0,['Comedy'],Epsilon Motion Pictures|Hyde Park Films|Shopgirl|Touchstone Pictures,31.0,2005.0,0.0
9701.0,0.269437,39079715.14,28164462.63,North Country,Charlize Theron|Elle Peterson|Thomas Curtis|Frances McDormand|Sean Bean,Niki Caro,126.0,['Drama'],Warner Bros.|Participant Media|Nick Wechsler Productions,63.0,2005.0,0.0
15624.0,0.401768,502453.4803,1087002.277,Conversations with Other Women,Helena Bonham Carter|Aaron Eckhart|Yury Tsykun|Brian Geraghty|Brianna Brown,Hans Canosa,84.0,['Comedy'],Prophecy Pictures Ltd.|Gordonstreet Pictures,14.0,2005.0,-500000.0
7870.0,0.252383,8932506.317,952285.566,Down in the Valley,Edward Norton|Evan Rachel Wood|David Morse|Rory Culkin|Bruce Dern,David Jacobson,112.0,['Drama'],Class 5 Films,33.0,2005.0,587000.0
23478.0,0.246144,13398759.48,94871.03303,Mozart and the Whale,Josh Hartnett|Radha Mitchell|Gary Cole|Sheila Kelley|Erica Leerhsen,Petter NÃ¦ss,92.0,['Documentary'],Paramount Pictures,22.0,2005.0,-2896265.0
13341.0,0.242227,33496898.69,38245471.53,Bad News Bears,Billy Bob Thornton|Ken Medlock|Aman Johal|Greg Kinnear|Marcia Gay Harden,Richard Linklater,113.0,['Comedy'],Paramount Pictures,34.0,2005.0,-65000.0
17880.0,0.198611,15631886.06,36450818.23,Because of Winn-Dixie,Jeff Daniels|AnnaSophia Robb|Cicely Tyson|Eva Marie Saint|Dave Matthews,Wayne Wang,106.0,['Drama Family'],Twentieth Century Fox Film Corporation,35.0,2005.0,-8621007.0
9787.0,0.195984,27914082.24,14975298.83,Lords of Dogtown,Emile Hirsch|Victor Rasuk|Rebecca De Mornay|John Robinson|Michael Angarano,Catherine Hardwicke,107.0,['Comedy Romance'],Columbia Pictures|TriStar Pictures,118.0,2005.0,215576.0
16608.0,0.191177,2233126.579,5637185.265,The Proposition,Guy Pearce|Ray Winstone|Emily Watson|Danny Huston|David Wenham,John Hillcoat,104.0,['Animation'],Autonomous|UK Film Council|Surefire Film Productions|Pictures in Paradise|Pacific Film and Television Commission,103.0,2005.0,0.0
9700.0,0.183927,10719007.58,4897510.097,The Lost City,Andy GarcÃ­a|Richard Bradford|Nestor Carbonell|Enrique Murciano|Dominik GarcÃ­a-Lorido,Andy GarcÃ­a,144.0,['Comedy Romance'],Lions Gate Films,13.0,2005.0,-2500000.0
9009.0,0.177398,33496898.69,28442320.52,Dark Water,Jennifer Connelly|John C. Reilly|Tim Roth|Dougray Scott|Pete Postlethwaite,Walter Salles,105.0,['Drama Thriller Crime Mystery'],Vertigo Entertainment|Touchstone Pictures|Post No Bills Films|Pandemonium Productions,113.0,2005.0,0.0
292.0,0.151442,3349689.869,13084552.98,Dave Chappelle's Block Party,Dave Chappelle|Erykah Badu|Common|Mos Def|Bilal,Michel Gondry,100.0,['Animation Horror Science Fiction'],Yari Film Group,15.0,2005.0,-2500000.0
24618.0,0.149319,15631886.06,7656262.195,Bee Season,Richard Gere|Flora Cross|Max Minghella|Kate Bosworth|Juliette Binoche,Scott McGehee,104.0,['Horror Thriller'],Paramount Pictures,10.0,2005.0,0.0
49081.0,0.141937,8932506.317,2254351.331,Maurice Richard,Roy Dupuis|Michel Barrette|RÃ©my Girard|Tony Calabretta|Sean Avery,Charles BinamÃ©,124.0,['Drama Horror Action Thriller Science Fiction'],Paramount Pictures,10.0,2005.0,-616755.0
868.0,0.075624,3349689.869,11031612.92,Tsotsi,Presley Chweneyagae|Jerry Mofokeng|Terry Pheto|Kenneth Nkosi|Zenzo Ngqobe,Gavin Hood,94.0,['Animation Action Western'],Movieworld Productions|Industrial Development Corporation of South Africa|UK Film & TV Production Company|National Film & Video Foundation of South Africa,42.0,2005.0,0.0
834.0,5.838503,54083457.91,120433910.5,Underworld: Evolution,Kate Beckinsale|Scott Speedman|Tony Curran|Shane Brolly|Derek Jacobi,Len Wiseman,106.0,['Horror'],Lakeshore Entertainment|Screen Gems,1015.0,2006.0,-13000000.0
